elapsed_s,wall_time,reference_id,sp_can_unconfirmed,reference_valid_age_ms,reference_count,reference_payload_changes,reference_max_gap_ms,reference_raw,position,delta_position_from_first_sample,velocity,status2_valid_age_ms,status2_count,status2_max_gap_ms,status2_raw,applied_output,bus_voltage_V,motor_current_A,temperature_C,status0_valid_age_ms,status0_raw,status1_age_ms,status1_raw,heartbeat_age_ms,heartbeat_count,heartbeat_max_gap_ms,heartbeat_raw,invalid_frame_count,error_frame_count,candidate_reference_ids
20.586392,2026-09-14T21:15:44.223038-06:00,0x02051081,0.5,19.22011375427246,881,1,23.576974868774414,0000003f00000000,,,,,0,0.0,,0.0,12.058608058608016,0.0,24,0.06127357482910156,00006e0600182000,117.06042289733887,0000000000400000,19.610881805419922,881,23.15235137939453,ffffffffffffffff,0,0,0x02051081
20.68651,2026-09-14T21:15:44.323156-06:00,0x02051081,0.5,19.26255226135254,886,1,23.576974868774414,0000003f00000000,,,,,0,0.0,,0.0,12.058608058608016,0.0,24,0.12421607971191406,00006e0600182000,217.1783447265625,0000000000400000,19.6530818939209,886,23.15235137939453,ffffffffffffffff,0,0,0x02051081
20.786811,2026-09-14T21:15:44.423457-06:00,0x02051081,0.5,19.654035568237305,891,1,23.576974868774414,0000003f00000000,,,,,0,0.0,,0.0,12.058608058608016,0.0,24,0.4878044128417969,00006e0600182000,67.47603416442871,0000000000400000,0.04887580871582031,892,23.15235137939453,ffffffffffffffff,0,0,0x02051081
20.886933,2026-09-14T21:15:44.523579-06:00,0x02051081,0.5,19.685745239257812,896,1,23.576974868774414,0000003f00000000,,,,,0,0.0,,0.0,12.058608058608016,0.0,24,0.5521774291992188,00006e0600182000,167.59824752807617,0000000000400000,0.059604644775390625,897,23.15235137939453,ffffffffffffffff,0,0,0x02051081
20.987218,2026-09-14T21:15:44.623864-06:00,0x02051081,0.5,0.04982948303222656,902,1,23.576974868774414,0000003f00000000,,,,,0,0.0,,0.0,12.058608058608016,0.0,24,0.8943080902099609,00006e0600182000,17.88640022277832,0000000000400000,0.4394054412841797,902,23.15235137939453,ffffffffffffffff,0,0,0x02051081
21.087259,2026-09-14T21:15:44.723905-06:00,0x02051081,0.5,0.05078315734863281,907,1,23.576974868774414,0000003f00000000,,,,,0,0.0,,0.0,12.058608058608016,0.0,24,0.8771419525146484,00006e0600182000,117.92778968811035,0000000000400000,0.44083595275878906,907,23.15235137939453,ffffffffffffffff,0,0,0x02051081
21.187282,2026-09-14T21:15:44.823928-06:00,0x02051081,0.5,0.050067901611328125,912,1,23.576974868774414,0000003f00000000,,,,,0,0.0,,0.0,12.058608058608016,0.0,24,0.9484291076660156,00006e0600182000,217.95058250427246,0000000000400000,0.4405975341796875,912,23.15235137939453,ffffffffffffffff,0,0,0x02051081
21.306456,2026-09-14T21:15:44.943102-06:00,0x02051081,0.5,19.252300262451172,917,1,23.576974868774414,0000003f00000000,,,,,0,0.0,,0.0,12.065934065934023,0.0,24,0.11897087097167969,00006f0600182000,87.12983131408691,0000000000400000,19.639968872070312,917,23.15235137939453,ffffffffffffffff,0,0,0x02051081
21.406832,2026-09-14T21:15:45.043478-06:00,0x02051081,0.5,19.63663101196289,922,1,23.576974868774414,0000003f00000000,,,,,0,0.0,,0.0,12.058608058608016,0.0,24,0.5083084106445312,00006e0600182000,187.50572204589844,0000000000400000,0.05793571472167969,923,23.15235137939453,ffffffffffffffff,0,0,0x02051081
21.506889,2026-09-14T21:15:45.143535-06:00,0x02051081,0.5,19.6688175201416,927,1,23.576974868774414,0000003f00000000,,,,,0,0.0,,0.0,12.058608058608016,0.0,24,0.5037784576416016,00006e0600182000,37.56523132324219,0000000000400000,0.05936622619628906,928,23.15235137939453,ffffffffffffffff,0,0,0x02051081
21.607231,2026-09-14T21:15:45.243878-06:00,0x02051081,0.5,0.04887580871582031,933,1,23.576974868774414,0000003f00000000,,,,,0,0.0,,0.0,12.058608058608016,0.0,24,0.8707046508789062,00006e0600182000,137.9075050354004,0000000000400000,0.4379749298095703,933,23.15235137939453,ffffffffffffffff,0,0,0x02051081
21.719435,2026-09-14T21:15:45.356081-06:00,0x02051081,0.5,12.276649475097656,938,1,23.576974868774414,0000003f00000000,,,,,0,0.0,,0.0,12.058608058608016,0.0,24,13.114690780639648,00006e0600182000,0.10466575622558594,0000000000400000,12.664556503295898,938,23.15235137939453,ffffffffffffffff,0,0,0x02051081
21.826431,2026-09-14T21:15:45.463077-06:00,0x02051081,0.5,19.11139488220215,943,1,23.576974868774414,0000003f00000000,,,,,0,0.0,,0.0,12.065934065934023,0.0,24,0.10919570922851562,00006f0600182000,107.10000991821289,0000000000400000,19.504547119140625,943,23.15235137939453,ffffffffffffffff,0,0,0x02051081
21.926435,2026-09-14T21:15:45.563081-06:00,0x02051081,0.5,19.18935775756836,948,1,23.576974868774414,0000003f00000000,,,,,0,0.0,,0.0,12.065934065934023,0.0,24,0.07176399230957031,00006f0600182000,207.10468292236328,0000000000400000,19.577980041503906,948,23.15235137939453,ffffffffffffffff,0,0,0x02051081
22.026829,2026-09-14T21:15:45.663475-06:00,0x02051081,0.5,19.626379013061523,953,1,23.576974868774414,0000003f00000000,,,,,0,0.0,,0.0,12.058608058608016,0.0,24,0.5123615264892578,00006e0600182000,57.47079849243164,0000000000400000,0.053882598876953125,954,23.15235137939453,ffffffffffffffff,0,0,0x02051081
22.126841,2026-09-14T21:15:45.763487-06:00,0x02051081,0.5,19.653797149658203,958,1,23.576974868774414,0000003f00000000,,,,,0,0.0,,0.0,12.065934065934023,0.0,24,0.5283355712890625,00006f0600182000,157.48310089111328,0000000000400000,0.058650970458984375,959,23.15235137939453,ffffffffffffffff,0,0,0x02051081
22.227429,2026-09-14T21:15:45.864075-06:00,0x02051081,0.5,20.260334014892578,963,1,23.576974868774414,0000003f00000000,,,,,0,0.0,,0.0,12.058608058608016,0.0,24,0.90789794921875,00006e0600182000,8.105278015136719,0000000000400000,0.07462501525878906,964,23.15235137939453,ffffffffffffffff,0,0,0x02051081
22.346389,2026-09-14T21:15:45.983035-06:00,0x02051081,0.5,19.219636917114258,969,1,23.576974868774414,0000003f00000000,,,,,0,0.0,,0.0,12.058608058608016,0.0,24,0.0591278076171875,00006e0600182000,127.06589698791504,0000000000400000,19.600868225097656,969,23.15235137939453,ffffffffffffffff,0,0,0x02051081
22.446857,2026-09-14T21:15:46.083503-06:00,0x02051081,0.5,19.615888595581055,974,1,23.576974868774414,0000003f00000000,,,,,0,0.0,,0.0,12.058608058608016,0.0,24,0.5068778991699219,00006e0600182000,227.53357887268066,0000000000400000,0.03337860107421875,975,23.15235137939453,ffffffffffffffff,0,0,0x02051081
22.547223,2026-09-14T21:15:46.183869-06:00,0x02051081,0.5,0.03147125244140625,980,1,23.576974868774414,0000003f00000000,,,,,0,0.0,,0.0,12.058608058608016,0.0,24,0.9191036224365234,00006e0600182000,77.89731025695801,0000000000400000,0.41937828063964844,980,23.15235137939453,ffffffffffffffff,0,0,0x02051081
22.647327,2026-09-14T21:15:46.283973-06:00,0x02051081,0.5,0.04506111145019531,985,1,23.576974868774414,0000003f00000000,,,,,0,0.0,,0.0,12.058608058608016,0.0,24,0.9517669677734375,00006e0600182000,178.00092697143555,0000000000400000,0.453948974609375,985,23.15235137939453,ffffffffffffffff,0,0,0x02051081
