t_rx_s,t_host_s,rx_unix_s,host_minus_rx_ms,dt_rx_ms,velocity_rpm,position_rot,raw_hex
121.59698104858398,121.59704568300003,1789785166.124468,0.063180923,20.07770538330078,5440.000488,5297.14209,0100aa452389a545
121.61690211296082,121.61695585000007,1789785166.1443892,0.051975250244140625,19.921064376831055,5440.000488,5298.962891,0100aa45b497a545
121.63692998886108,121.63701129600031,1789785166.164417,0.079631805,20.027875900268555,5440.000488,5300.783691,0100aa4545a6a545
121.65693879127502,121.65699240799995,1789785166.1844258,0.052213669,20.00880241394043,5440.000488,5302.604492,0100aa45d6b4a545
121.67698526382446,121.6770503900002,1789785166.2044723,0.063419342,20.046472549438477,5440.000488,5304.425293,0100aa4567c3a545
121.69693684577942,121.69700009400003,1789785166.224424,0.061511993408203125,19.951581954956055,5440.000488,5306.270508,0100aa452ad2a545
121.71690845489502,121.71696239200037,1789785166.2443955,0.052213669,19.971609115600586,5440.000488,5308.091309,0100aa45bbe0a545
121.7369372844696,121.73699185500027,1789785166.2644243,0.052928924560546875,20.02882957458496,5440.000488,5309.912109,0100aa454cefa545
121.75698637962341,121.75705117100006,1789785166.2844734,0.063180923,20.049095153808594,5440.000488,5311.756836,0100aa450efea545
121.77689337730408,121.77694769100026,1789785166.3043804,0.052690506,19.906997680664062,5445.714844,5313.577637,b82daa459f0ca645
121.79693555831909,121.79698898800007,1789785166.3244226,0.051736832,20.04218101501465,5440.000488,5315.398438,0100aa45301ba645
121.81689310073853,121.81700087800027,1789785166.3443801,0.10609626770019531,19.957542419433594,5440.000488,5317.219238,0100aa45c129a645
121.83693432807922,121.83700467500012,1789785166.3644214,0.068664551,20.041227340698242,5445.714844,5319.040039,b82daa455238a645
121.85693168640137,121.85699473100021,1789785166.3844187,0.061273575,19.997358322143555,5440.000488,5320.86084,0100aa45e346a645
121.87702989578247,121.87714862100029,1789785166.404517,0.11706352233886719,20.098209381103516,5440.000488,5322.681641,0100aa457455a645
121.89698052406311,121.89701865899997,1789785166.4244676,0.036478043,19.95062828063965,5440.000488,5324.526367,0100aa453664a645
121.9169352054596,121.91697891900003,1789785166.4444222,0.042200089,19.954681396484375,5440.000488,5326.347168,0100aa45c772a645
121.93693208694458,121.93697284600012,1789785166.4644191,0.039100647,19.99688148498535,5440.000488,5328.167969,0100aa455881a645
121.95692849159241,121.95696803200008,1789785166.4844155,0.037908554,19.99640464782715,5440.000488,5329.989258,0100aa45ea8fa645
121.9769664,121.97700562499995,1789785166.5044534,0.037670135498046875,20.03788948059082,5440.000488,5331.810059,0100aa457b9ea645
121.99696040153503,121.99699936700017,1789785166.5244474,0.037431717,19.994020462036133,5440.000488,5333.630859,0100aa450cada645
122.01693391799927,122.01697305300013,1789785166.544421,0.037431717,19.97351646,5434.286133,5335.45166,4ad2a9459dbba645
122.03696489334106,122.03700357300022,1789785166.564452,0.03695488,20.030975341796875,5434.286133,5337.296387,4ad2a9455fcaa645
122.05696201324463,122.05700179600035,1789785166.584449,0.038146973,19.997119903564453,5440.000488,5339.117188,0100aa45f0d8a645
122.07693243026733,122.07697027800032,1789785166.6044195,0.036239624,19.970417022705078,5434.286133,5340.937988,4ad2a94581e7a645
122.0970721244812,122.09711166800025,1789785166.6245592,0.037908554,20.139694213867188,5434.286133,5342.758789,4ad2a94512f6a645
122.1169445514679,122.11698316900038,1789785166.6444316,0.03695488,19.872426986694336,5440.000488,5344.57959,0100aa45a304a745
122.13699460029602,122.13703404000034,1789785166.6644816,0.037670135498046875,20.05004883,5440.000488,5346.400391,0100aa453413a745
122.15717029571533,122.15720852300001,1789785166.6846573,0.036716461181640625,20.175695419311523,5440.000488,5348.245117,0100aa45f621a745
122.17701768875122,122.17705644900025,1789785166.7045047,0.037193298,19.847393035888672,5440.000488,5350.065918,0100aa458730a745
122.19692349433899,122.19696248700029,1789785166.7244105,0.037193298,19.905805587768555,5440.000488,5351.886719,0100aa45183fa745
122.21692419052124,122.2170505250001,1789785166.7444112,0.1251697540283203,20.000696182250977,5440.000488,5353.708008,0100aa45aa4da745
122.23692464828491,122.23699180400035,1789785166.7644117,0.065565109,20.000457763671875,5440.000488,5355.528809,0100aa453b5ca745
122.2569375038147,122.25699760099997,1789785166.7844245,0.058412552,20.012855529785156,5440.000488,5357.373535,0100aa45fd6aa745
122.27696633338928,122.27702904600028,1789785166.8044534,0.061273575,20.02882957458496,5440.000488,5359.194336,0100aa458e79a745
122.29692077636719,122.29698332500038,1789785166.8244078,0.061035156,19.954442977905273,5440.000488,5361.015137,0100aa451f88a745
122.31692433357239,122.31698619600002,1789785166.8444114,0.060081482,20.003557205200195,5440.000488,5362.835938,0100aa45b096a745
122.33693480491638,122.33698866000032,1789785166.8644218,0.052213669,20.01047134399414,5440.000488,5364.656738,0100aa4541a5a745
122.35693526268005,122.35698890100002,1789785166.8844223,0.051975250244140625,20.000457763671875,5440.000488,5366.477539,0100aa45d2b3a745
122.37693476676941,122.37698749500032,1789785166.9044218,0.051021575927734375,19.99950408935547,5440.000488,5368.29834,0100aa4563c2a745
122.3969407081604,122.39709592200006,1789785166.9244277,0.15354156494140625,20.00594139099121,5440.000488,5370.143066,0100aa4525d1a745
122.41695213317871,122.4170934040003,1789785166.9444392,0.13971328735351562,20.011425018310547,5440.000488,5371.963867,0100aa45b6dfa745
122.43689060211182,122.43697447900013,1789785166.9643776,0.082015991,19.93846893310547,5440.000488,5373.784668,0100aa4547eea745
122.45695805549622,122.45701948000033,1789785166.984445,0.059843063,20.067453384399414,5440.000488,5375.605469,0100aa45d8fca745
122.4769229888916,122.47705648100009,1789785167,0.13184547424316406,19.964933395385742,5440.000488,5377.426758,0100aa456a0ba845
122.4969174861908,122.4969811850001,1789785167.0244045,0.062227249,19.994497299194336,5440.000488,5379.247559,0100aa45fb19a845
122.5169346,122.5169889,1789785167.0444217,0.052690506,20.017147064208984,5440.000488,5381.068359,0100aa458c28a845
122.53692555427551,122.53697926099994,1789785167.0644126,0.051975250244140625,19.990921020507812,5440.000488,5382.913086,0100aa454e37a845
122.55692386627197,122.55697665100024,1789785167.084411,0.051259995,19.99831199645996,5440.000488,5384.733887,0100aa45df45a845
122.57688999176025,122.5769509300003,1789785167.104377,0.059127808,19.96612548828125,5440.000488,5386.554688,0100aa457054a845
122.59692978858948,122.59700022700008,1789785167.1244168,0.068902969,20.039796829223633,5440.000488,5388.375488,0100aa450163a845
122.6169126033783,122.61697713500007,1789785167.1443996,0.062942505,19.98281478881836,5440.000488,5390.196289,0100aa459271a845
122.63695478439331,122.63709593300018,1789785167.1644418,0.13947486877441406,20.04218101501465,5440.000488,5392.01709,0100aa452380a845
122.65688681602478,122.65695550700002,1789785167.1843739,0.066995621,19.932031631469727,5440.000488,5393.837891,0100aa45b48ea845
122.67691922187805,122.67700706400001,1789785167.2044063,0.086307526,20.032405853271484,5440.000488,5395.682617,0100aa45769da845
122.69696092605591,122.69702560199994,1789785167.224448,0.062942505,20.041704177856445,5440.000488,5397.503418,0100aa4507aca845
122.71691298484802,122.71697521400029,1789785167,0.060558319091796875,19.952058792114258,5440.000488,5399.324219,0100aa4598baa845
122.73689246177673,122.73694491800006,1789785167.2643795,0.050783157,19.979476928710938,5440.000488,5401.145508,0100aa452ac9a845
122.75687885284424,122.75694095600011,1789785167.284366,0.060558319091796875,19.986391067504883,5440.000488,5402.966309,0100aa45bbd7a845
122.77688384056091,122.77693941999996,1789785167.3043709,0.053882598876953125,20.004987716674805,5440.000488,5404.787109,0100aa454ce6a845
122.79696226119995,122.79702581000038,1789785167.3244493,0.061988831,20.078420639038086,5440.000488,5406.60791,0100aa45ddf4a845
122.81695032119751,122.81701314400016,1789785167.3444374,0.061035156,19.988059997558594,5440.000488,5408.452637,0100aa459f03a945
122.83694958686829,122.83701221900037,1789785167.3644366,0.061035156,19.999265670776367,5440.000488,5410.273438,0100aa453012a945
122.85695195198059,122.85701316400036,1789785167.384439,0.059366226,20.002365112304688,5440.000488,5412.094238,0100aa45c120a945
122.87693381309509,122.87699459100031,1789785167.4044209,0.059127808,19.981861114501953,5440.000488,5413.915039,0100aa45522fa945
122.89687943458557,122.89691979600002,1789785167.4243665,0.038862228,19.945621490478516,5440.000488,5415.73584,0100aa45e33da945
122.91691040992737,122.91695088899996,1789785167.4443974,0.038862228,20.030975341796875,5440.000488,5417.556641,0100aa45744ca945
122.93687677383423,122.93691994600022,1789785167.4643638,0.041484832763671875,19.96636390686035,5440.000488,5419.377441,0100aa45055ba945
122.95694947242737,122.9569871,1789785167.4844365,0.036001205,20.07269859313965,5440.000488,5421.222168,0100aa45c769a945
122.97687888145447,122.97691537300034,1789785167.504366,0.034809112548828125,19.92940902709961,5440.000488,5423.042969,0100aa455878a945
122.9969129562378,122.99694865200036,1789785168,0.033855438232421875,20.034074783325195,5440.000488,5424.864258,0100aa45ea86a945
123.01690602302551,123.01694446800002,1789785167.544393,0.036716461181640625,19.993066787719727,5440.000488,5426.685059,0100aa457b95a945
123.03687810897827,123.0369208760003,1789785167.5643651,0.041007996,19.97208595275879,5440.000488,5428.505859,0100aa450ca4a945
123.05687284469604,123.05690932100015,1789785168,0.034809112548828125,19.994735717773438,5440.000488,5430.32666,0100aa459db2a945
123.07690978050232,123.07694874800018,1789785167.6043968,0.037431717,20.036935806274414,5440.000488,5432.147461,0100aa452ec1a945
123.09677457809448,123.09681569300028,1789785167.6242616,0.039339066,19.864797592163086,5440.000488,5433.968262,0100aa45bfcfa945
123.1169023513794,123.11696441699996,1789785167.6443894,0.060319901,20.12777328491211,5440.000488,5435.812988,0100aa4581dea945
