time_s,applied_duty_percent,velocity_rpm
1.060000000,69.997528001,3805.713867188
1.080000000,69.997528001,3805.713867188
1.100000000,69.997528001,3805.713867188
1.120000000,69.997528001,3805.713867188
1.140000000,69.997528001,3805.713867188
1.160000000,69.997528001,3805.713867188
1.180000000,69.997528001,3805.713867188
1.200000000,69.997528001,3805.713867188
1.220000000,69.997528001,3805.017571763
1.240000000,69.997528001,3799.999511719
1.260000000,69.997528001,3799.999511719
1.280000000,69.997528001,3799.999511719
1.300000000,69.997528001,3799.999511719
1.320000000,69.997528001,3800.698841181
1.340000000,69.997528001,3805.713867188
1.360000000,69.997528001,3805.713867188
1.380000000,69.997528001,3805.004656097
1.400000000,69.997528001,3799.999511719
1.420000000,69.997528001,3799.999511719
1.440000000,69.997528001,3799.999511719
1.460000000,69.997528001,3799.999511719
1.480000000,69.997528001,3799.999511719
1.500000000,69.997528001,3799.999511719
1.520000000,69.997528001,3799.999511719
1.540000000,69.997528001,3799.999511719
1.560000000,69.997528001,3799.308806823
1.580000000,69.997528001,3794.285156250
1.600000000,69.997528001,3794.285156250
1.620000000,69.997528001,3794.285156250
1.640000000,69.997528001,3794.285156250
1.660000000,69.997528001,3794.285156250
1.680000000,69.997528001,3794.285156250
1.700000000,69.997528001,3794.285156250
1.720000000,69.997528001,3794.285156250
1.740000000,69.997528001,3794.285156250
1.760000000,69.997528001,3794.285156250
1.780000000,69.997528001,3794.285156250
1.800000000,69.997528001,3794.285156250
1.820000000,69.997528001,3793.593654856
1.840000000,69.997528001,3789.272286426
1.860000000,69.997528001,3794.285156250
1.880000000,69.997528001,3793.572092570
1.900000000,69.997528001,3788.570800781
1.920000000,69.997528001,3788.570800781
1.940000000,69.997528001,3788.570800781
1.960000000,69.997528001,3788.570800781
1.980000000,69.997528001,3788.570800781
2.000000000,69.997528001,3788.570800781
2.020000000,69.997528001,3788.570800781
2.040000000,69.997528001,3788.570800781
2.060000000,69.997528001,3789.259739494
2.080000000,69.997528001,3794.284912109
2.100000000,69.997528001,3793.612347358
2.120000000,69.997528001,3788.570800781
2.140000000,69.997528001,3789.223906086
2.160000000,69.997528001,3794.284941956
2.180000000,69.997528001,3794.285156250
2.200000000,69.997528001,3794.285156250
2.220000000,69.997528001,3794.997801677
2.240000000,69.997528001,3799.999511719
2.260000000,69.997528001,3799.999511719
2.280000000,69.997528001,3799.999511719
2.300000000,69.997528001,3799.999511719
2.320000000,69.997528001,3799.999511719
2.340000000,69.997528001,3799.999511719
2.360000000,69.997528001,3799.999511719
2.380000000,69.997528001,3799.999511719
2.400000000,69.997528001,3799.999511719
2.420000000,69.997528001,3800.698096391
2.440000000,69.997528001,3805.713867188
2.460000000,69.997528001,3805.713867188
2.480000000,69.997528001,3805.008327721
2.500000000,69.997528001,3799.999511719
2.520000000,69.997528001,3799.999511719
2.540000000,69.997528001,3800.691733909
2.560000000,69.997528001,3805.713867188
2.580000000,69.997528001,3805.713867188
2.600000000,69.997528001,3805.713867188
2.620000000,69.997528001,3805.713867188
2.640000000,69.997528001,3806.434148905
2.660000000,69.997528001,3810.679529173
2.680000000,69.997528001,3805.713867188
2.700000000,69.997528001,3805.713867188
2.720000000,69.997528001,3805.713867188
2.740000000,69.997528001,3805.713867188
2.760000000,69.997528001,3806.419631034
2.780000000,69.997528001,3810.721736874
2.800000000,69.997528001,3805.713867188
2.820000000,69.997528001,3805.713867188
2.840000000,69.997528001,3805.713867188
2.860000000,69.997528001,3805.713867188
2.880000000,69.997528001,3805.713867188
2.900000000,69.997528001,3805.713867188
2.920000000,69.997528001,3805.713867188
2.940000000,69.997528001,3805.713867188
2.960000000,69.997528001,3805.713867188
2.980000000,69.997528001,3805.713867188
3.000000000,69.997528001,3805.713867188
3.020000000,74.997131260,3805.713867188
3.040000000,74.997131260,3808.569690806
3.060000000,74.997131260,3832.883049364
3.080000000,74.997131260,3862.856933594
3.100000000,74.997131260,3867.178360185
3.120000000,74.997131260,3897.142578125
3.140000000,74.997131260,3900.014560979
3.160000000,74.997131260,3924.946869093
3.180000000,74.997131260,3959.999511719
3.200000000,74.997131260,3963.473317058
3.220000000,74.997131260,3992.758876895
3.240000000,74.997131260,4022.856445312
3.260000000,74.997131260,4026.457310699
3.280000000,74.997131260,4052.843428733
3.300000000,74.997131260,4062.856201172
3.320000000,74.997131260,4062.856201172
3.340000000,74.997131260,4062.856201172
3.360000000,74.997131260,4062.856201172
3.380000000,74.997131260,4063.609957239
3.400000000,74.997131260,4068.570556641
3.420000000,74.997131260,4067.867066734
3.440000000,74.997131260,4063.552920323
3.460000000,74.997131260,4068.570556641
3.480000000,74.997131260,4067.862317174
3.500000000,74.997131260,4062.856201172
3.520000000,74.997131260,4062.856201172
3.540000000,74.997131260,4062.856201172
3.560000000,74.997131260,4062.856201172
3.580000000,74.997131260,4062.856201172
3.600000000,74.997131260,4062.856201172
3.620000000,74.997131260,4062.856201172
3.640000000,74.997131260,4062.856201172
3.660000000,74.997131260,4062.856201172
3.680000000,74.997131260,4062.856201172
3.700000000,74.997131260,4062.856201172
3.720000000,74.997131260,4063.555233971
3.740000000,74.997131260,4068.570556641
3.760000000,74.997131260,4068.570556641
3.780000000,74.997131260,4068.570556641
3.800000000,74.997131260,4068.570556641
3.820000000,74.997131260,4068.570556641
3.840000000,74.997131260,4068.570556641
3.860000000,74.997131260,4068.570556641
3.880000000,74.997131260,4068.570556641
3.900000000,74.997131260,4068.570556641
3.920000000,74.997131260,4068.570556641
3.940000000,74.997131260,4068.570556641
3.960000000,74.997131260,4068.570556641
3.980000000,74.997131260,4068.570556641
4.000000000,74.997131260,4068.570556641
4.020000000,74.997131260,4068.570556641
4.040000000,74.997131260,4068.570556641
4.060000000,74.997131260,4068.570556641
4.080000000,74.997131260,4068.570556641
4.100000000,74.997131260,4068.570556641
4.120000000,74.997131260,4068.570556641
4.140000000,74.997131260,4069.284361661
4.160000000,74.997131260,4074.284912109
4.180000000,74.997131260,4074.284912109
4.200000000,74.997131260,4074.284912109
4.220000000,74.997131260,4074.284912109
4.240000000,74.997131260,4074.284912109
4.260000000,74.997131260,4074.284912109
4.280000000,74.997131260,4074.284912109
4.300000000,74.997131260,4074.284912109
4.320000000,74.997131260,4074.284912109
4.340000000,74.997131260,4074.284912109
4.360000000,74.997131260,4074.284912109
4.380000000,74.997131260,4073.581653842
4.400000000,74.997131260,4068.570800781
4.420000000,74.997131260,4068.570770977
4.440000000,74.997131260,4068.570556641
4.460000000,74.997131260,4068.570556641
4.480000000,74.997131260,4068.570556641
4.500000000,74.997131260,4068.570556641
4.520000000,74.997131260,4068.570556641
4.540000000,74.997131260,4068.570556641
4.560000000,74.997131260,4068.570556641
4.580000000,74.997131260,4068.570556641
4.600000000,74.997131260,4068.570556641
4.620000000,74.997131260,4068.570556641
4.640000000,74.997131260,4068.570556641
4.660000000,74.997131260,4069.275935764
4.680000000,74.997131260,4074.284912109
4.700000000,74.997131260,4074.284912109
4.720000000,74.997131260,4073.573455359
4.740000000,74.997131260,4068.570556641
4.760000000,74.997131260,4068.570556641
4.780000000,74.997131260,4068.570556641
4.800000000,74.997131260,4068.570556641
4.820000000,74.997131260,4068.570556641
4.840000000,74.997131260,4068.570556641
4.860000000,74.997131260,4068.570556641
4.880000000,74.997131260,4068.570556641
4.900000000,74.997131260,4068.570556641
4.920000000,74.997131260,4067.844574564
4.940000000,74.997131260,4062.856414179
4.960000000,74.997131260,4062.856201172
4.980000000,74.997131260,4063.570694645
5.000000000,74.997131260,4068.570556641
5.020000000,74.997131260,4068.570556641
5.040000000,74.997131260,4068.570556641
5.060000000,74.997131260,4068.570556641
5.080000000,74.997131260,4068.570556641
5.100000000,74.997131260,4068.570556641
5.120000000,74.997131260,4068.570556641
5.140000000,74.997131260,4068.570556641
5.160000000,74.997131260,4068.570556641
5.180000000,74.997131260,4068.570556641
5.200000000,74.997131260,4068.570556641
5.220000000,74.997131260,4068.570556641
5.240000000,74.997131260,4068.570556641
5.260000000,74.997131260,4067.862694868
5.280000000,74.997131260,4062.856201172
5.300000000,74.997131260,4062.856201172
5.320000000,74.997131260,4063.574398571
5.340000000,74.997131260,4067.862086350
5.360000000,74.997131260,4062.856201172
5.380000000,74.997131260,4063.579189585
5.400000000,74.997131260,4068.570556641
5.420000000,74.997131260,4067.851572549
5.440000000,74.997131260,4063.577688512
5.460000000,74.997131260,4068.570556641
5.480000000,74.997131260,4067.860041586
5.500000000,74.997131260,4064.303718059
5.520000000,74.997131260,4074.284912109
5.540000000,74.997131260,4074.284912109
5.560000000,74.997131260,4073.564515845
5.580000000,74.997131260,4068.570800781
5.600000000,74.997131260,4069.296957496
5.620000000,74.997131260,4074.284912109
5.640000000,74.997131260,4073.562407120
5.660000000,74.997131260,4069.300495271
5.680000000,74.997131260,4074.284912109
5.700000000,74.997131260,4073.563082293
5.720000000,74.997131260,4069.291226508
5.740000000,74.997131260,4074.284912109
5.760000000,74.997131260,4073.564555516
5.780000000,74.997131260,4068.570769681
5.800000000,74.997131260,4068.570556641
5.820000000,74.997131260,4069.293365337
5.840000000,74.997131260,4074.284912109
5.860000000,74.997131260,4074.284912109
5.880000000,74.997131260,4074.284912109
5.900000000,74.997131260,4074.284912109
5.920000000,74.997131260,4074.284912109
5.940000000,74.997131260,4074.284912109
5.960000000,74.997131260,4074.284912109
5.980000000,74.997131260,4074.284912109
6.000000000,74.997131260,4074.284912109
6.020000000,74.997131260,4074.284912109
6.040000000,74.997131260,4074.284912109
6.060000000,74.997131260,4074.284942928
6.080000000,74.997131260,4074.285156250
6.100000000,74.997131260,4074.285125317
6.120000000,74.997131260,4074.284912109
6.140000000,74.997131260,4074.284912109
6.160000000,74.997131260,4074.284912109
6.180000000,74.997131260,4074.284912109
6.200000000,74.997131260,4074.284912109
6.220000000,74.997131260,4074.284912109
6.240000000,74.997131260,4074.284912109
6.260000000,74.997131260,4074.284912109
6.280000000,74.997131260,4074.284912109
6.300000000,74.997131260,4074.284912109
6.320000000,74.997131260,4073.553087024
6.340000000,74.997131260,4068.570769955
6.360000000,74.997131260,4068.570556641
6.380000000,74.997131260,4068.570556641
6.400000000,74.997131260,4068.570556641
6.420000000,74.997131260,4068.570556641
6.440000000,74.997131260,4068.570556641
6.460000000,74.997131260,4068.570556641
6.480000000,74.997131260,4068.570556641
6.500000000,74.997131260,4068.570556641
6.520000000,74.997131260,4068.570556641
6.540000000,74.997131260,4068.570556641
6.560000000,74.997131260,4068.570556641
6.580000000,74.997131260,4068.570556641
6.600000000,74.997131260,4068.570556641
6.620000000,74.997131260,4068.570556641
6.640000000,74.997131260,4068.570556641
6.660000000,74.997131260,4068.570556641
6.680000000,74.997131260,4068.570556641
6.700000000,74.997131260,4068.570556641
6.720000000,74.997131260,4068.570556641
6.740000000,74.997131260,4068.570556641
6.760000000,74.997131260,4068.570556641
6.780000000,74.997131260,4068.570556641
6.800000000,74.997131260,4068.570556641
6.820000000,74.997131260,4068.570556641
6.840000000,74.997131260,4068.570556641
6.860000000,74.997131260,4068.570556641
6.880000000,74.997131260,4068.570556641
6.900000000,74.997131260,4068.570556641
6.920000000,74.997131260,4067.842069489
6.940000000,74.997131260,4062.856201172
6.960000000,74.997131260,4062.856201172
6.980000000,74.997131260,4062.856201172
7.000000000,74.997131260,4063.573677299
7.020000000,74.997131260,4068.570556641
7.040000000,74.997131260,4068.570556641
7.060000000,74.997131260,4068.570556641
7.080000000,74.997131260,4068.570556641
7.100000000,74.997131260,4067.840430317
7.120000000,74.997131260,4062.856201172
7.140000000,74.997131260,4063.585335960
7.160000000,74.997131260,4069.297984669
7.180000000,74.997131260,4074.284912109
7.200000000,74.997131260,4074.284912109
7.220000000,74.997131260,4074.284912109
7.240000000,74.997131260,4074.284912109
7.260000000,74.997131260,4073.562647672
7.280000000,74.997131260,4068.570769293
7.300000000,74.997131260,4068.570556641
7.320000000,74.997131260,4068.570556641
7.340000000,74.997131260,4069.299612529
7.360000000,74.997131260,4074.284912109
7.380000000,74.997131260,4073.553517302
7.400000000,74.997131260,4068.570800781
7.420000000,74.997131260,4069.299355588
7.440000000,74.997131260,4074.284912109
7.460000000,74.997131260,4074.284912109
7.480000000,74.997131260,4074.284912109
7.500000000,74.997131260,4074.284912109
7.520000000,74.997131260,4074.284912109
7.540000000,74.997131260,4074.284912109
7.560000000,74.997131260,4074.284912109
7.580000000,74.997131260,4074.284912109
7.600000000,74.997131260,4075.024266584
7.620000000,74.997131260,4079.999267578
7.640000000,74.997131260,4079.999267578
7.660000000,74.997131260,4079.269006575
7.680000000,74.997131260,4074.285156250
7.700000000,74.997131260,4074.285124727
7.720000000,74.997131260,4074.284912109
7.740000000,74.997131260,4074.284912109
7.760000000,74.997131260,4074.284912109
7.780000000,74.997131260,4075.011176524
7.800000000,74.997131260,4079.999267578
7.820000000,74.997131260,4079.999267578
